invoice_id,cus_id,data_created,total_amount
INV000_CUS000,CUS000,6/4/2025 2:00:37 PM,674.2
INV001_CUS000,CUS000,6/4/2025 5:51:38 PM,159.98
INV002_CUS000,CUS000,6/4/2025 5:56:33 PM,159.98
INV003_CUS000,CUS000,6/4/2025 5:56:36 PM,123.49
INV004_CUS000,CUS000,6/5/2025 1:31:05 PM,169.99
INV005_CUS000,CUS000,6/7/2025 11:18:48 PM,89.99
INV006_CUS000,CUS000,6/8/2025 3:16:34 AM,117.49
INV007_CUS000,CUS000,6/10/2025 11:40:37 AM,198
INV008_CUS000,CUS000,6/11/2025 11:48:40 PM,72
INV009_CUS000,CUS000,6/12/2025 1:13:22 AM,50.99
